0,1
0.0578384,0.940037
0.107795,0.885337
0.152172,0.83431
0.19248,0.785805
0.229725,0.738995
0.264596,0.693264
0.297574,0.648139
0.329008,0.603231
0.359159,0.558204
0.388222,0.512739
0.416353,0.466515
0.443675,0.419177
0.470289,0.370309
0.496282,0.319373
0.52173,0.265622
0.546705,0.207894
0.571285,0.144081
0.595588,0.0689609
0.620092,-0.034078
0.642517,-0.111666
0.666829,-0.178258
0.689444,-0.231962
0.711233,-0.278615
0.732561,-0.320564
0.753586,-0.358973
0.774377,-0.394511
0.794968,-0.427616
0.815377,-0.458599
0.835616,-0.487699
0.855693,-0.515103
0.875615,-0.540966
0.895391,-0.565418
0.915026,-0.588569
0.934526,-0.610513
0.953899,-0.631332
0.97315,-0.651099
0.992285,-0.669879
1.01131,-0.687726
1.03023,-0.704693
1.04905,-0.720825
1.06777,-0.736163
1.08641,-0.750744
1.10495,-0.764603
1.12342,-0.77777
1.14181,-0.790274
1.16013,-0.802141
1.17838,-0.813396
1.19656,-0.82406
1.21469,-0.834154
1.23275,-0.843698
1.25077,-0.852709
1.26873,-0.861205
1.28664,-0.8692
1.30451,-0.876709
1.32234,-0.883747
1.34014,-0.890326
1.35789,-0.896459
1.37562,-0.902156
1.39332,-0.90743
1.41099,-0.912289
1.42864,-0.916745
1.44626,-0.920806
1.46387,-0.924481
1.48147,-0.927779
1.49905,-0.930708
1.51663,-0.933275
1.53419,-0.935488
1.55176,-0.937353
1.56932,-0.938879
1.58688,-0.94007
1.60445,-0.940934
1.62202,-0.941476
1.63961,-0.941702
1.6572,-0.941618
1.67481,-0.94123
1.69244,-0.940541
1.71009,-0.939559
1.72776,-0.938286
1.74546,-0.936729
1.76319,-0.934892
1.78094,-0.932779
1.79874,-0.930395
1.81657,-0.927744
1.83444,-0.924831
1.85236,-0.921659
1.87032,-0.918233
1.88834,-0.914556
1.90641,-0.910632
1.92454,-0.906466
1.94273,-0.90206
1.96099,-0.897419
1.97931,-0.892547
1.99771,-0.887446
2.01619,-0.882121
2.03476,-0.876575
2.05341,-0.870811
2.07215,-0.864833
2.09099,-0.858645
2.10994,-0.852249
2.12899,-0.845649
2.14816,-0.838849
2.16746,-0.831852
2.18688,-0.824661
2.20644,-0.81728
2.22614,-0.809711
2.24599,-0.801958
2.26601,-0.794025
2.28619,-0.785914
2.30656,-0.777628
2.32712,-0.769172
2.34789,-0.760548
2.36887,-0.751758
2.39008,-0.742807
2.41154,-0.733697
2.43326,-0.72443
2.45527,-0.71501
2.47759,-0.705438
2.50023,-0.695718
2.52323,-0.685851
2.54661,-0.675838
2.57041,-0.665681
2.59468,-0.65538
2.61945,-0.644935
2.64478,-0.634344
2.67074,-0.623604
2.6974,-0.61271
2.72486,-0.601654
2.75323,-0.590424
2.78268,-0.579001
2.81341,-0.567357
2.84569,-0.555451
2.87994,-0.543212
2.9168,-0.530523
2.9574,-0.517153
