0,0
0.1,0.1
0.2,0.16561
0.3,0.210167
0.4,0.240735
0.5,0.261489
0.6,0.275124
0.7,0.283531
0.8,0.288151
0.9,0.290178
1,0.290681
1.1,0.290681
1.2,0.291185
1.3,0.293194
1.4,0.29769
1.5,0.305582
1.6,0.317638
1.7,0.3344
1.8,0.356108
1.9,0.382642
2,0.413514
2.1,0.44791
2.2,0.484792
2.3,0.523015
2.4,0.561465
2.5,0.599158
2.6,0.63531
2.7,0.669358
2.8,0.700952
2.9,0.729928
3,0.756259
3.1,0.780023
3.2,0.801363
3.3,0.82046
3.4,0.837512
3.5,0.85272
3.6,0.866277
3.7,0.878365
3.8,0.889151
3.9,0.898784
4,0.9074
4.1,0.915117
4.2,0.922041
4.3,0.928265
4.4,0.933869
4.5,0.938924
4.6,0.943494
4.7,0.947632
4.8,0.951386
4.9,0.954799
5,0.957906
